Date	Time	Zone	Status
06/06/10	13:14:43	1	Tamper
06/06/10	13:14:43	2	Tamper
06/06/10	13:14:44	3	Tamper
06/06/10	13:14:50	4	Tamper
06/06/10	13:14:51	5	Tamper
06/06/10	13:14:51	6	Tamper
06/06/10	13:14:59	1	Bypass
06/06/10	13:14:59	2	Bypass
06/06/10	13:14:59	3	Bypass
06/06/10	13:15:00	4	Bypass
06/06/10	13:15:00	5	Bypass
06/06/10	13:15:01	6	Bypass
06/06/10	13:15:01	6	Alarm
06/06/10	13:15:02	4	Alarm
06/06/10	13:15:02	5	Alarm
06/06/10	13:15:03	3	Alarm
06/06/10	13:15:03	2	Alarm
06/06/10	13:15:05	1	Alarm
06/06/10	13:15:09	1	Normal
06/06/10	13:15:12	2	Normal
06/06/10	13:15:12	3	Normal
06/06/10	13:15:13	4	Normal
06/06/10	13:15:13	5	Normal
06/06/10	13:15:14	6	Normal
